2024-12-17T09:48:03 - ALLOW - Source: 172.16.0.2, Destination: 192.168.1.1
2024-12-17T10:15:58 - INTRUSION_DETECTED - Source: 192.168.1.3, Destination: 172.16.0.1
2024-12-17T09:38:37 - PORT_SCAN - Source: 10.0.0.3, Destination: 192.168.1.1
2024-12-17T09:32:59 - PORT_SCAN - Source: 172.16.0.3, Destination: 10.0.0.2
2024-12-17T09:34:02 - DENY - Source: 192.168.1.1, Destination: 192.168.1.1
2024-12-17T09:34:35 - INTRUSION_DETECTED - Source: 192.168.1.4, Destination: 172.16.0.1
2024-12-17T10:07:00 - DENY - Source: 172.16.0.1, Destination: 10.0.0.2
2024-12-17T09:35:47 - DENY - Source: 192.168.1.3, Destination: 172.16.0.4
2024-12-17T09:53:42 - PORT_SCAN - Source: 172.16.0.4, Destination: 10.0.0.2
2024-12-17T10:08:52 - DENY - Source: 10.0.0.4, Destination: 172.16.0.2
2024-12-17T09:36:35 - ALLOW - Source: 192.168.1.3, Destination: 192.168.1.3
2024-12-17T09:41:35 - DENY - Source: 172.16.0.3, Destination: 10.0.0.3
2024-12-17T09:39:00 - SYN_FLOOD - Source: 10.0.0.4, Destination: 10.0.0.2
2024-12-17T09:28:54 - ALLOW - Source: 192.168.1.1, Destination: 172.16.0.4
2024-12-17T09:55:55 - ALLOW - Source: 192.168.1.3, Destination: 10.0.0.4
2024-12-17T10:00:07 - SYN_FLOOD - Source: 192.168.1.1, Destination: 10.0.0.4
2024-12-17T09:58:33 - PORT_SCAN - Source: 192.168.1.4, Destination: 10.0.0.1
2024-12-17T10:07:20 - INTRUSION_DETECTED - Source: 10.0.0.2, Destination: 172.16.0.3
2024-12-17T10:17:13 - INTRUSION_DETECTED - Source: 10.0.0.3, Destination: 10.0.0.1
2024-12-17T09:34:04 - PORT_SCAN - Source: 192.168.1.2, Destination: 172.16.0.2
2024-12-17T09:40:11 - INTRUSION_DETECTED - Source: 192.168.1.4, Destination: 192.168.1.2
2024-12-17T10:25:39 - INTRUSION_DETECTED - Source: 10.0.0.4, Destination: 192.168.1.2
2024-12-17T09:37:06 - SYN_FLOOD - Source: 172.16.0.4, Destination: 172.16.0.2
2024-12-17T10:19:39 - SYN_FLOOD - Source: 172.16.0.1, Destination: 172.16.0.3
2024-12-17T09:33:00 - DENY - Source: 192.168.1.2, Destination: 10.0.0.2
2024-12-17T10:24:28 - ALLOW - Source: 10.0.0.3, Destination: 10.0.0.2
2024-12-17T09:51:41 - DENY - Source: 172.16.0.2, Destination: 10.0.0.1
2024-12-17T09:54:39 - DENY - Source: 172.16.0.4, Destination: 10.0.0.3
2024-12-17T09:36:42 - PORT_SCAN - Source: 192.168.1.4, Destination: 192.168.1.1
2024-12-17T10:05:56 - ALLOW - Source: 172.16.0.3, Destination: 172.16.0.1
2024-12-17T10:11:55 - PORT_SCAN - Source: 10.0.0.1, Destination: 192.168.1.4
2024-12-17T09:47:01 - SYN_FLOOD - Source: 192.168.1.1, Destination: 192.168.1.4
